type,zone,from_station_gen,from_station_name,to_station_name,lat_long,lat_long_string,long,lat,departure,arrival,duration,number_of_halts,distance,speed,departure_days,name
SF,ER,Kolkata,Kolkata Howrah Junction,Dhanbad Junction,"23.7909631,86.4298023","23.7909631,86.4298023",86.4298023,23.7909631,0.638888889,0.819444444,4.333333333,5,259,59.8,SMT-TF-,Howrah-Dhanbad AC DD Express
SF,ER,Kolkata,Kolkata Howrah Junction,Dhanbad Junction,"23.7909631,86.4298023","23.7909631,86.4298023",86.4298023,23.7909631,0.722222222,0.902777778,4.333333333,11,259,59.8,SMTWTFS,Coalfield Express
SF,CR,Mumbai,Mumbai CST,Manmad Junction,"20.2498245,74.4380905","20.2498245,74.4380905",74.4380905,20.2498245,0.760416667,0.951388889,4.583333333,8,261,56.9,SMTWTFS,Panchavati Express
SF,WR,Mumbai,Mumbai Central,Surat,"21.1950000,72.8194440","21.1950000,72.8194440",72.819444,21.195,0.746527778,0.940972222,4.666666667,12,263,56.4,SMTWTFS,Flying Rani Express
Exp,SER,Kolkata,Kolkata Shalimar,Baripada,"21.9361950,86.7344870","21.9361950,86.7344870",86.734487,21.936195,0.277777778,0.486111111,5,8,265,53,S--WT--,Shalimar-Baripada Express
Exp,ECR,Kolkata,Kolkata Howrah Junction,Dhanbad Junction,"23.7909631,86.4298023","23.7909631,86.4298023",86.4298023,23.7909631,0.260416667,0.465277778,4.916666667,14,271,55.1,SMTWTFS,Black Diamond Express
Exp,NR,Delhi,Delhi Anand Vihar Terminus,Kathgodam,"29.2693264,79.5441198","29.2693264,79.5441198",79.5441198,29.2693264,0.25,0.496527778,5.916666667,6,271,45.8,S--W-F-,Anand Vihar-Kathgodam AC Express
Exp,NR,Delhi,Old Delhi,Bareilly,"28.3670355,79.4304381","28.3670355,79.4304381",79.4304381,28.3670355,0.253472222,0.541666667,6.916666667,19,274,39.6,SMTWTFS,Delhi-Bareilly Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Azimganj Junction,"24.2295283,88.2598064","24.2295283,88.2598064",88.2598064,24.2295283,0.944444444,0.1875,5.833333333,9,278,47.7,SMTWTFS,Kaviguru Express
Exp,NER,Delhi,Old Delhi,Kathgodam,"29.2693264,79.5441198","29.2693264,79.5441198",79.5441198,29.2693264,0.944444444,0.215277778,6.5,10,278,42.8,SMTWTFS,Ranikhet Express
SKr,NER,Delhi,Old Delhi,Kathgodam,"29.2693264,79.5441198","29.2693264,79.5441198",79.5441198,29.2693264,0.666666667,0.944444444,6.666666667,7,278,41.7,SMTWTFS,Uttarakhand Sampark Kranti Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Azimganj Junction,"24.2295283,88.2598064","24.2295283,88.2598064",88.2598064,24.2295283,0.253472222,0.545138889,7,13,278,39.7,SMTWTFS,Ganadevta Express
Shtb,NR,Delhi,New Delhi,Kalka,"30.8369760,76.9342950","30.8369760,76.9342950",76.934295,30.836976,0.71875,0.888888889,4.083333333,3,303,74.2,SMTWTFS,New Delhi-Kalka Shatabdi
Shtb,NR,Delhi,New Delhi,Kalka,"30.8369760,76.9342950","30.8369760,76.9342950",76.934295,30.836976,0.319444444,0.489583333,4.083333333,4,303,74.2,SMTWTFS,Kalka Shatabdi Express
SF,NWR,Delhi,Delhi Sarai Rohilla,Jaipur Junction,"26.9209850,75.7854754","26.9209850,75.7854754",75.7854754,26.920985,0.732638889,0.920138889,4.5,2,303,67.3,SMTWTFS,Delhi Sarai Rohilla -Jaipur SF Special
SF,NR,Delhi,New Delhi,Dehradun,"30.3164945,78.0321918","30.3164945,78.0321918",78.0321918,30.3164945,0.996527778,0.236111111,5.75,5,303,52.7,SMTWTFS,New Delhi-Dehradun AC Express
JShtb,NR,Delhi,New Delhi,Dehradun,"30.3164945,78.0321918","30.3164945,78.0321918",78.0321918,30.3164945,0.635416667,0.881944444,5.916666667,7,303,51.2,SMTWTFS,Dehradun Jan Shatabdi Express
Exp,NR,Delhi,Delhi Sarai Rohilla,Kalka,"30.8369760,76.9342950","30.8369760,76.9342950",76.934295,30.836976,0.239583333,0.465277778,5.416666667,10,305,56.3,SMTWTFS,Himalayan Queen
SF,SER,Kolkata,Kolkata Shalimar,Bhojudih Junction,"23.6420550,86.4468793","23.6420550,86.4468793",86.4468793,23.642055,0.322916667,0.545138889,5.333333333,11,311,58.3,#NAME?,Aranyak Express
Shtb,NR,Delhi,New Delhi,Dehradun,"30.3164945,78.0321918","30.3164945,78.0321918",78.0321918,30.3164945,0.284722222,0.527777778,5.833333333,6,315,54,SMTWTFS,New Delhi-Dehradun Shatabdi
Exp,ER,Kolkata,Kolkata Chitpur,Giridih,"24.1797410,86.3022310","24.1797410,86.3022310",86.302231,24.179741,0.84375,0.1875,8.25,9,322,39,S-TWTFS,Lal Quila Express Slip
SF,SER,Kolkata,Kolkata Howrah Junction,Purulia Junction,"23.3254134,86.3779031","23.3254134,86.3779031",86.3779031,23.3254134,0.701388889,0.930555556,5.5,12,323,58.7,SMTWTFS,Howrah Purulia Express
Shtb,NR,Delhi,New Delhi,Ludhiana Junction,"30.9124904,75.8479485","30.9124904,75.8479485",75.8479485,30.9124904,0.291666667,0.513888889,5.333333333,2,329,61.7,#NAME?,New Delhi-Ludhiana Shatabdi Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Malda Town,"25.0108408,88.1410967","25.0108408,88.1410967",88.1410967,25.0108408,0.635416667,0.930555556,7.083333333,11,331,46.7,#NAME?,InterCity Express
SF,SER,Kolkata,Kolkata Howrah Junction,Purulia Junction,"23.3254134,86.3779031","23.3254134,86.3779031",86.3779031,23.3254134,0.25,0.493055556,5.833333333,11,333,57.1,SMTWTFS,Rupashi Bangla Express
SF,SR,Chennai,Chennai Egmore,Tiruchirappalli Junction,"10.7953287,78.6840598","10.7953287,78.6840598",78.6840598,10.7953287,0.65625,0.888888889,5.583333333,9,336,60.2,SMTWTFS,Pallavan Superfast Express
SF,CR,Mumbai,Mumbai Dadar Central,Sainagar Shirdi,"19.7769008,74.5053095","19.7769008,74.5053095",74.5053095,19.7769008,0.90625,0.160416667,6.1,6,336,55.1,#NAME?,Mumbai Dadar-Sainagar Shirdi Express
